# time, goalRoll, Torque, speed, roll, rollrate, steer, steerrate, intERoll, yaw, y, intELane
0.13000000000000003,0,-0.32401697004037366,5.698705726268885,0.0030922695023857453,-0.0010727380878362948,0.052415290750551624,0.20099838413747206,-7.982999964654144e-05,-0.003911119259732736,-0.0010380626276876384,2.3501892225269094e-05
0.13500000000000004,0,-0.22220431142446387,5.680323720274628,0.0033374158234828486,8.831819493672279e-05,0.04923550684069561,0.23115805210661494,-0.00014657831611619842,-0.003908120967299777,-0.001149144462006116,4.648478146539142e-05
0.14000000000000004,0,-0.22220431142446387,5.672015768928804,0.003543801828466546,0.0012228666570867949,0.04140485060159046,0.23053320931464288,-0.00014657831611619842,-0.0038666668901978112,-0.0012599787986362731,4.648478146539142e-05
0.14500000000000005,0,-0.22220431142446387,6.026322052715428,0.0037317852276592413,0.0022695778819902526,0.037601835770696444,0.22375328688199414,-0.00014657831611619842,-0.0037849243470590146,-0.0013764874080680572,4.648478146539142e-05
0.15000000000000005,0,-0.22220431142446387,5.985271341589342,0.00391532345666346,0.0032140556674958736,0.036638136539090455,0.21024707943772902,-0.00014657831611619842,-0.003669953440453261,-0.0014897561337488885,4.648478146539142e-05
0.15500000000000005,0,0.22004036926543424,5.960606308790835,0.004063395765080577,0.004089138892663082,0.029440974327430237,0.20384475274320535,-0.00022784623141780996,-0.003524282468508044,-0.0015991316263774754,7.846741399294093e-05
0.16000000000000006,0,0.22004036926543424,5.943851776842131,0.004193944434112667,0.004727148859755538,0.025894077913738222,0.15928042106489174,-0.00022784623141780996,-0.0033563564592821726,-0.0017038704726205288,7.846741399294093e-05
0.16500000000000006,0,0.22004036926543424,5.923698638208539,0.00431697854946496,0.005189100046247862,0.02437310080879974,0.12559668162351179,-0.00022784623141780996,-0.0031726452238247218,-0.0018032805069117732,7.846741399294093e-05
0.17000000000000007,0,0.22004036926543424,5.903644967343048,0.004464148378341915,0.005578009217657512,0.029234731718479255,0.10970790941549935,-0.00022784623141780996,-0.0029758338570691953,-0.0018969312048459537,7.846741399294093e-05
0.17500000000000007,0,-0.2720701509721485,5.8849535518061815,0.004610807722837585,0.005796666522972197,0.029133428357129742,0.07558249694602592,-0.00032006238587456166,-0.002771955054780624,-0.0019844942957424456,0.00011815729990778985
0.18000000000000008,0,-0.2720701509721485,6.091752127575548,0.004704983463065399,0.005980245241391933,0.018655847317273124,0.06274651711726817,-0.00032006238587456166,-0.0025542282318171583,-0.0020689245031316464,0.00011815729990778985
0.18500000000000008,0,-0.2720701509721485,6.060016548807302,0.004804618058730047,0.006278858043261437,0.019726924150788118,0.08857044621084208,-0.00032006238587456166,-0.0023268205180047093,-0.002146317745749488,0.00011815729990778985
0.19000000000000009,0,-0.2720701509721485,6.052353470352211,0.0048833390900271285,0.0066682207665588996,0.015524251644876676,0.10696590857472751,-0.00032006238587456166,-0.0020856162594533037,-0.002216731383396938,0.00011815729990778985
0.1950000000000001,0,-0.21038324861041002,6.035845336699572,0.004952470461025976,0.007019719354966876,0.01351393426623948,0.10804039360415324,-0.00041911179509508114,-0.0018323900989817656,-0.002279673623634769,0.00016375077238048522
0.2000000000000001,0,-0.21038324861041002,6.011272475141584,0.005022265657190213,0.0074000178157603794,0.013600361804052183,0.11883934105190538,-0.00041911179509508114,-0.0015665319988987945,-0.0023347485736429792,0.00016375077238048522
0.2050000000000001,0,-0.21038324861041002,5.986737460764141,0.0050849402683543245,0.007757896272442278,0.012135838754867045,0.11803744521001171,-0.00041911179509508114,-0.0012889540901931155,-0.002381640633470411,0.00016375077238048522
0.2100000000000001,0,-0.21038324861041002,5.962329884261782,0.005093861714634902,0.008000166098455481,0.0013114526868212401,0.09901587925273217,-0.00041911179509508114,-0.0010038747647145969,-0.0024200664702872772,0.00016375077238048522
0.2150000000000001,0,-0.21538528856052264,6.131290989393899,0.005098730795963486,0.008055532980219987,0.0006091232176309389,0.050101811281889626,-0.0005210864110143508,-0.0007086879696339617,-0.002450841706615117,0.00021276760651278758
0.2200000000000001,0,-0.21538528856052264,6.097444533719923,0.005089714703962573,0.008001950529181663,-0.0022791005598751185,0.03962329347259768,-0.0005210864110143508,-0.0004170833242934546,-0.00247244763273935,0.00021276760651278758
